instance family sat sequential14 sequentialinputordersoftmax14 sequentialshuffle14 sequentialantiheuristic14 sequentialinputordersoftmaxrestarts14 sequentialrestartsshuffle14 sequentialdds14 sequentialinputordershufflerestartsgoods14 sequentialinputordersoftmaxrestartsgoods14
si6_m4Dr2_m625.03 6 1 6 6 6 6 6 6 6 8 7
si6_m4Dr2_m625.02 6 1 6 6 6 6 7 6 6 7 7
si6_m4Dr2_m625.07 6 1 6 6 6 6 6 6 6 7 7
si6_m4Dr2_m625.04 6 1 6 6 6 7 7 6 6 7 8
si2_m4D_m1296.01 5 1 1 90 18 2 92 17 4 34 109
si2_m4D_m1296.08 5 1 5 3 3 3 3 3 4 3 4
si2_m4D_m1296.06 5 1 352 38 11 2 68 11 128 15 43
si2_m4D_m1296.05 5 1 3 5 6 4 4 6 3 11 5
si2_m4D_m1296.09 5 1 3 3 3 3 3 7 3 3 4
si2_m4D_m1296.03 5 1 27 19 3 8 14 6 6 20 16
si2_m4D_m1296.07 5 1 3 5 3 3 3 4 3 4 4
si2_m4D_m1296.02 5 1 4 7 4 4 3 3 3 4 4
si2_m4D_m1296.04 5 1 8 3 4 8 3 4 4 4 4
si2_m4D_m1296.00 5 1 6 3 3 3 3 3 3 4 4
si4_b03_m800.05 3 1 4 4 4 5 8 4 7 5 7
si4_b03_m800.00 3 1 4 5 4 4 6 4 4 7 6
si4_b03_m800.08 3 1 4 5 4 7 5 4 5 6 5
si4_b03_m800.09 3 1 4 4 4 4 5 4 4 6 5
si4_b03_m800.03 3 1 4 8 6 4 8 6 5 6 5
si4_b03_m800.02 3 1 4 5 4 4 4 5 4 5 5
si4_b03_m800.04 3 1 4 4 4 4 5 4 7 5 5
si4_b03_m800.01 3 1 4 4 4 4 4 5 5 5 5
si4_b03_m800.06 3 1 5 4 4 4 4 4 4 5 5
si4_b03_m800.07 3 1 4 4 4 4 4 4 5 9 5
si6_m4D_m1296.02 5 1 24 27 42 41 42 23 35 27 31
si6_m4D_m1296.07 5 1 84 371 30 76 375 45 NaN 32 402
si6_m4D_m1296.05 5 1 28 26 26 25 26 25 317 38 35
si6_m4D_m1296.09 5 1 198 108 145 53 67 150 NaN 165 74
si6_m4D_m1296.00 5 1 178 143 148 45 152 252 NaN 174 162
si6_m4D_m1296.08 5 1 23 45 44 40 26 24 24 30 29
si6_m4D_m1296.04 5 1 24 25 24 24 24 22 279 27 48
si6_m4D_m1296.06 5 1 218 522 369 843 452 292 NaN 326 493
si6_m4D_m1296.01 5 1 123 359 38 138 360 67 NaN 46 806
si6_m4D_m1296.03 5 1 1966 448 1454 989 1331 2093 NaN 715 3135
si6_r001_m200.05 7 1 0 0 0 0 0 0 2 0 0
si6_r001_m200.09 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.07 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.02 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.01 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.00 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.04 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.06 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.08 7 1 0 0 0 0 0 0 0 0 0
si6_r001_m200.03 7 1 0 0 0 0 0 0 0 0 0
si4_b06_m400.06 3 1 0 1 0 0 0 1 1 0 0
si4_b06_m400.07 3 1 0 0 1 0 0 0 0 0 0
si4_b06_m400.09 3 1 0 0 0 0 0 0 0 0 0
si4_b06_m400.01 3 1 0 0 0 0 0 0 0 0 0
si4_b06_m400.04 3 1 0 0 0 0 0 0 0 0 1
si4_b06_m400.03 3 1 0 0 0 0 0 1 0 0 0
si4_b06_m400.00 3 1 0 1 0 0 0 0 0 0 0
si4_b06_m400.05 3 1 0 0 0 0 1 1 0 0 0
si4_b06_m400.08 3 1 0 0 0 0 1 0 0 0 0
si4_b06_m400.02 3 1 0 0 0 0 0 0 0 0 1
si2_m4Dr6_m256.06 6 1 0 0 0 0 0 0 1 0 0
si2_m4Dr6_m256.05 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr6_m256.09 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr6_m256.00 6 1 0 0 0 0 0 0 1 0 0
si2_m4Dr6_m256.07 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr6_m256.04 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr6_m256.02 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr6_m256.01 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr6_m256.08 6 1 0 0 0 0 0 1 6 0 0
si2_m4Dr6_m256.03 6 1 0 0 0 0 0 0 0 0 0
si6_r01_m200.04 7 1 0 1 9 22 2 10 1 4 1
si6_r01_m200.08 7 1 10 4 6 10 4 7 47 15 5
si6_r01_m200.02 7 1 27 16 55 61 34 19 11 47 90
si6_r01_m200.09 7 1 2 30 332 352 38 232 10 114 45
si6_r01_m200.07 7 1 6 8 18 26 7 38 24 26 8
si6_r01_m200.00 7 1 29 33 21 39 33 38 388 14 184
si6_r01_m200.01 7 1 2 3 204 705 4 55 37 1415 3
si6_r01_m200.03 7 1 110 137 101 90 149 74 1143 281 69
si6_r01_m200.05 7 1 21 17 179 171 11 95 22 1050 9
si6_r01_m200.06 7 1 9 29 63 132 11 21 9 291 66
si2_b03m_m800.03 4 1 1 1 0 0 1 0 0 1 1
si2_b03m_m800.02 4 1 0 1 0 0 1 1 0 1 1
si2_b03m_m800.09 4 1 1 1 1 1 0 0 0 1 1
si2_b03m_m800.04 4 1 1 1 1 0 1 1 1 1 1
si2_b03m_m800.06 4 1 0 1 1 0 1 1 0 1 1
si2_b03m_m800.05 4 1 0 1 1 1 1 1 0 1 1
si2_b03m_m800.01 4 1 0 0 1 0 0 1 0 1 1
si2_b03m_m800.08 4 1 0 0 0 0 1 1 0 1 1
si2_b03m_m800.07 4 1 0 0 1 0 1 1 0 1 2
si2_b03m_m800.00 4 1 0 1 0 0 0 1 0 1 1
si2_r001_m200.06 7 1 0 0 1 1 0 1 0 0 0
si2_r001_m200.01 7 1 0 0 0 0 0 0 1 0 0
si2_r001_m200.02 7 1 20 0 0 0 0 0 2 0 0
si2_r001_m200.07 7 1 0 0 0 0 0 0 0 0 0
si2_r001_m200.04 7 1 0 0 0 0 0 0 0 0 0
si2_r001_m200.05 7 1 NaN 240929 4311 0 5 1 0 7 1
si2_r001_m200.09 7 1 0 0 0 0 0 0 0 0 0
si2_r001_m200.03 7 1 0 0 0 0 0 0 0 0 0
si2_r001_m200.00 7 1 0 0 0 0 0 0 0 0 0
si2_r001_m200.08 7 1 0 0 0 0 0 0 0 0 0
si6_b03m_m800.01 4 1 9 9 9 9 9 11 9 19 10
si6_b03m_m800.08 4 1 12 10 10 9 9 17 10 12 12
si6_b03m_m800.03 4 1 10 10 10 9 17 10 9 12 11
si6_b03m_m800.00 4 1 11 12 11 11 11 10 17 12 20
si6_b03m_m800.04 4 1 10 10 16 10 9 10 9 11 11
si6_b03m_m800.05 4 1 16 10 10 11 9 10 9 12 12
si6_b03m_m800.07 4 1 16 16 10 9 16 12 10 11 12
si6_b03m_m800.06 4 1 9 8 9 9 11 16 9 12 10
si6_b03m_m800.09 4 1 9 10 10 10 9 9 10 12 11
si6_b03m_m800.02 4 1 10 9 10 10 9 13 9 12 11
si4_r005_m200.00 7 1 10 12 8 20 11 22 40 94 22
si4_r005_m200.08 7 1 1 0 2 4 0 2 6 3 0
si4_r005_m200.02 7 1 6 7 3 1 6 3 283 2 10
si4_r005_m200.05 7 1 0 0 2 1 0 1 2 1 0
si4_r005_m200.06 7 1 0 1 1 1 0 1 3 0 1
si4_r005_m200.04 7 1 8 1 1 77 1 2 12 43 1
si4_r005_m200.07 7 1 3 3 10 13 3 5 40 6 3
si4_r005_m200.09 7 1 4 6 1 22 10 1 38 36 15
si4_r005_m200.01 7 1 0 1 1 11 2 1 3 0 2
si4_r005_m200.03 7 1 7 15 13 10 15 12 72 4 16
si6_b09m_m400.03 4 1 2 1 1 1 1 1 2 1 1
si6_b09m_m400.07 4 1 1 1 1 1 1 2 1 1 1
si6_b09m_m400.00 4 1 1 2 1 1 1 1 2 1 1
si6_b09m_m400.04 4 1 1 1 2 1 1 1 2 1 1
si6_b09m_m400.06 4 1 1 2 1 1 2 1 1 1 1
si6_b09m_m400.08 4 1 2 1 1 1 1 1 1 1 1
si6_b09m_m400.02 4 1 2 2 1 1 2 1 1 1 1
si6_b09m_m400.05 4 1 1 1 1 2 1 1 1 1 1
si6_b09m_m400.09 4 1 1 1 1 1 1 1 1 1 1
si6_b09m_m400.01 4 1 2 1 1 1 1 1 1 1 1
si2_b09_m200.08 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.01 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.06 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.05 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.00 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.02 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.03 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.04 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.09 3 1 0 0 0 0 0 0 0 0 0
si2_b09_m200.07 3 1 0 0 0 0 0 0 0 0 0
si6_r01_m600.02 7 1 1599 1351 19895 50762 2060 18785 355 37402 16020
si6_r01_m600.06 7 1 11 1526 34977 53687 70 30552 19 5469 88
si6_r01_m600.09 7 1 6259 8050 12247 25963 6015 26899 3729 44802 32497
si6_r01_m600.08 7 1 81792 107770 117701 141303 77056 176838 NaN 9418 NaN
si6_r01_m600.05 7 1 85 1338 32946 53633 278 32151 76 218556 535
si6_r01_m600.07 7 1 3875 4961 17507 86582 5321 89267 2189 162610 57938
si6_r01_m600.03 7 1 2586 2117 786 38086 1898 29117 296 37969 1039
si6_r01_m600.00 7 1 974 872 3952 11213 1235 3769 6080 46129 929
si6_r01_m600.01 7 1 413 482 209373 335984 397 41881 20389 319651 1723
si6_r01_m600.04 7 1 20824 11775 248624 234270 15253 74588 11072 NaN 145321
si2_b06_m200.02 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.00 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.01 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.06 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.09 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.07 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.04 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.08 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.03 3 1 0 0 0 0 0 0 0 0 0
si2_b06_m200.05 3 1 0 0 0 0 0 0 0 0 0
si6_m4Dr2_m1296.05 6 1 30 46 30 31 31 31 30 61 37
si6_m4Dr2_m1296.09 6 1 30 32 46 30 31 31 31 62 40
si6_m4Dr2_m1296.01 6 1 30 30 31 30 61 48 34 38 39
si6_m4Dr2_m1296.06 6 1 51 30 30 31 31 32 59 47 38
si6_m4Dr2_m1296.07 6 1 32 29 40 30 31 30 38 39 56
si6_m4Dr2_m1296.03 6 1 46 31 30 30 32 34 46 39 38
si6_m4Dr2_m1296.04 6 1 31 33 30 47 31 33 58 37 39
si6_m4Dr2_m1296.00 6 1 64 34 30 46 31 42 48 41 36
si6_m4Dr2_m1296.08 6 1 35 50 32 37 32 31 31 40 41
si6_m4Dr2_m1296.02 6 1 45 30 45 45 31 32 35 37 38
si2_b09m_m800.09 4 1 1 1 1 1 1 1 1 2 1
si2_b09m_m800.07 4 1 1 1 1 1 1 1 1 1 1
si2_b09m_m800.00 4 1 1 2 2 1 2 1 1 1 1
si2_b09m_m800.04 4 1 1 1 1 1 1 1 1 1 1
si2_b09m_m800.02 4 1 1 1 1 1 1 2 1 1 1
si2_b09m_m800.05 4 1 2 1 2 1 2 1 2 2 2
si2_b09m_m800.03 4 1 2 1 1 1 2 1 1 1 2
si2_b09m_m800.08 4 1 1 1 1 1 1 1 1 1 1
si2_b09m_m800.06 4 1 1 1 1 1 1 1 1 1 1
si2_b09m_m800.01 4 1 1 2 2 2 1 1 1 2 1
si4_b03_m400.01 3 1 0 0 0 0 0 0 0 0 0
si4_b03_m400.02 3 1 0 0 0 0 0 0 0 0 0
si4_b03_m400.05 3 1 0 0 0 0 0 0 0 0 0
si4_b03_m400.07 3 1 0 0 0 0 0 0 0 1 0
si4_b03_m400.06 3 1 0 0 0 0 0 0 0 0 0
si4_b03_m400.00 3 1 0 1 0 0 1 1 0 0 0
si4_b03_m400.03 3 1 0 0 0 0 1 0 0 1 0
si4_b03_m400.04 3 1 0 0 0 0 1 0 0 1 0
si4_b03_m400.09 3 1 0 1 0 0 0 0 0 0 1
si4_b03_m400.08 3 1 0 0 1 0 0 0 0 0 0
si2_b03_m200.05 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.09 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.07 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.01 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.08 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.02 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.04 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.03 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.06 3 1 0 0 0 0 0 0 0 0 0
si2_b03_m200.00 3 1 0 0 0 0 0 0 0 0 0
si4_r005_m600.00 7 1 1134 740 2782 7651 1224 3828 2321 1240 2888
si4_r005_m600.02 7 1 631 525 1911 2244 448 1544 12341 463 6963
si4_r005_m600.08 7 1 6540 6790 7850 9872 8184 812 296958 11925 90563
si4_r005_m600.05 7 1 2302 3081 6172 5486 881 7305 83116 9224 39262
si4_r005_m600.07 7 1 1118 1180 2889 3607 1045 4268 20627 13724 7955
si4_r005_m600.06 7 1 2409 2934 10682 21235 1719 7185 19288 8139 6178
si4_r005_m600.01 7 1 389 205 1183 7459 157 7872 2436 16382 2960
si4_r005_m600.04 7 1 2353 2674 60 5890 1430 2193 58286 7026 39559
si4_r005_m600.03 7 1 329 320 2564 2429 553 2119 546 2532 1400
si4_r005_m600.09 7 1 75 156 371 1981 71 757 709 3053 197
si4_b09_m400.05 3 1 1 1 1 0 1 1 0 1 0
si4_b09_m400.03 3 1 1 0 1 1 0 1 0 1 1
si4_b09_m400.00 3 1 0 1 0 1 1 1 1 0 1
si4_b09_m400.07 3 1 1 1 0 0 0 1 1 0 1
si4_b09_m400.01 3 1 0 1 1 0 1 1 0 1 0
si4_b09_m400.06 3 1 1 1 1 0 0 1 0 1 1
si4_b09_m400.04 3 1 1 1 0 1 1 1 1 0 0
si4_b09_m400.02 3 1 1 0 1 1 1 0 0 1 0
si4_b09_m400.08 3 1 1 0 0 0 0 1 0 1 0
si4_b09_m400.09 3 1 1 0 1 0 1 0 0 1 0
si4_b06m_m400.06 4 1 0 0 0 0 0 0 0 0 0
si4_b06m_m400.03 4 1 0 1 0 1 1 0 1 1 0
si4_b06m_m400.01 4 1 0 1 0 0 1 1 0 0 0
si4_b06m_m400.08 4 1 0 0 0 0 0 0 0 1 1
si4_b06m_m400.05 4 1 0 0 0 0 0 0 0 0 0
si4_b06m_m400.07 4 1 0 0 0 0 0 2 2 1 1
si4_b06m_m400.00 4 1 0 0 0 1 1 0 0 0 0
si4_b06m_m400.04 4 1 0 0 0 0 0 0 0 1 1
si4_b06m_m400.09 4 1 0 0 0 0 0 0 0 0 1
si4_b06m_m400.02 4 1 0 0 0 0 0 0 0 1 1
si2_m4Dr2_m625.05 6 1 0 0 1 0 0 0 1 1 0
si2_m4Dr2_m625.00 6 1 5 8 4 10 8 8 4 9 17
si2_m4Dr2_m625.08 6 1 1 1 1 0 1 1 1 0 0
si2_m4Dr2_m625.09 6 1 0 1 0 0 0 1 0 0 0
si2_m4Dr2_m625.06 6 1 0 1 1 1 0 1 0 1 1
