instance family sat sequential14 sequentialinputordersoftmax14 sequentialshuffle14 sequentialantiheuristic14 sequentialinputordersoftmaxrestarts14 sequentialrestartsshuffle14 sequentialdds14
si4_b09_m400.04 3 1 3 3 3 3 3 3 3
si4_b09_m400.02 3 1 3 3 3 3 3 3 3
si4_b09_m400.08 3 1 3 3 3 3 3 3 3
si4_b09_m400.09 3 1 3 3 3 3 3 3 3
si4_b06m_m400.06 4 1 11 11 11 11 11 11 12
si4_b06m_m400.03 4 1 5 5 5 5 5 5 6
si4_b06m_m400.01 4 1 3 3 3 3 3 3 4
si4_b06m_m400.08 4 1 8 8 8 8 8 8 9
si4_b06m_m400.05 4 1 14 14 14 14 14 14 15
si4_b06m_m400.07 4 1 9 9 9 9 9 9 10
si4_b06m_m400.00 4 1 5 5 5 5 5 5 6
si4_b06m_m400.04 4 1 15 15 15 15 15 15 16
si4_b06m_m400.09 4 1 13 13 13 13 13 13 14
si4_b06m_m400.02 4 1 8 8 8 8 8 8 9
si2_m4Dr2_m625.05 6 1 14 17 9 12 17 9 24
si2_m4Dr2_m625.00 6 1 113 332 186 244 332 186 132
si2_m4Dr2_m625.08 6 1 3 3 3 3 3 3 4
si2_m4Dr2_m625.09 6 1 18 18 18 18 18 18 19
si2_m4Dr2_m625.06 6 1 21 25 21 25 25 21 23
si2_m4Dr2_m625.04 6 1 11 11 11 11 11 11 13
si2_m4Dr2_m625.01 6 1 48 49 28 19 49 28 185
si2_m4Dr2_m625.03 6 1 13 30 17 53 30 17 80
si2_m4Dr2_m625.02 6 1 25 20 25 20 20 25 46
si2_m4Dr2_m625.07 6 1 21 21 21 21 21 21 22
si2_r005_m200.02 7 1 62 41 53 430 41 53 2260
si2_r005_m200.01 7 1 662107 185387 16603 1032920 30768 61793 13836218
si2_r005_m200.03 7 1 5720 6916 1292 2862 4147 1467 8023
si2_r005_m200.05 7 1 25853 21637 6780 46867 33929 17864 455182
si2_r005_m200.08 7 1 588864 504872 504576 695348 595304 1111656 12477494
si2_r005_m200.04 7 1 1020330 898399 852895 72409 843579 303715 81149471
si2_r005_m200.09 7 1 1139 4269 2957 1500 720 1271 70410
si2_r005_m200.06 7 1 8828 10918 2619 17489 14003 730 153608
si2_r005_m200.00 7 1 90260 91145 20357 68387 92038 60331 3694454
si2_r005_m200.07 7 1 3402 3121 1869 2311 3852 1886 161057
si4_b03m_m400.03 4 1 27 27 27 27 27 27 28
si4_b03m_m400.09 4 1 19 19 19 19 19 19 20
si4_b03m_m400.08 4 1 22 22 22 22 22 22 23
si4_b03m_m400.04 4 1 19 19 19 19 19 19 20
si4_b03m_m400.00 4 1 21 21 21 21 21 21 22
si4_b03m_m400.01 4 1 25 25 25 25 25 25 26
si4_b03m_m400.07 4 1 20 20 20 20 20 20 21
si4_b03m_m400.02 4 1 24 24 24 24 24 24 25
si4_b03m_m400.06 4 1 20 20 19 19 20 19 21
si4_b03m_m400.05 4 1 23 23 23 23 23 23 24
si2_r01_m600.01 7 1 1040276 1084095 3834098 10056701 1168320 8857784 NaN
si2_r01_m600.06 7 1 3998453 4508593 11284135 8556248 2823414 4594167 NaN
si2_r01_m600.09 7 1 16401352 24127826 13858345 NaN 17298730 35830638 NaN
si2_r01_m600.08 7 1 24315373 26418438 5921477 30656243 24060331 15440576 NaN
si2_r01_m600.04 7 1 9193330 13573374 11738963 32548133 10943805 35931916 NaN
si2_r01_m600.02 7 1 12221574 13828281 17050658 NaN 16057685 11276528 NaN
si2_r01_m600.00 7 1 9934172 17188727 NaN NaN 17781848 NaN NaN
si2_r01_m600.07 7 1 2888847 5757533 31863844 37923933 3920407 21107217 NaN
si2_r01_m600.03 7 1 5666936 4468263 21238453 NaN 3344354 38550808 NaN
si2_r01_m600.05 7 1 3453309 3468645 9936998 14563180 2202297 7034205 39500454
si4_m4Dr6_m256.01 6 1 1 1 1 1 1 1 2
si4_m4Dr6_m256.00 6 1 15 8 12 10 8 12 59
si4_m4Dr6_m256.05 6 1 40 38 41 13 38 41 482
si4_m4Dr6_m256.08 6 1 12 11 12 11 11 12 18
si4_m4Dr6_m256.03 6 1 7 7 7 7 7 7 8
si4_m4Dr6_m256.06 6 1 5 7 6 6 7 6 11
si4_m4Dr6_m256.09 6 1 5 5 5 5 5 5 11
si4_m4Dr6_m256.07 6 1 149 139 109 20 139 109 1814
si4_m4Dr6_m256.02 6 1 3 3 3 3 3 3 3
si4_m4Dr6_m256.04 6 1 7 7 6 6 7 6 10
si2_b03m_m400.02 4 1 8 8 8 8 8 8 9
si2_b03m_m400.00 4 1 16 16 19 19 16 19 17
