instance family sat restarting3 restarting3con10000 parallel3t32 parallel3t32con10000 nonsharing3t32 mpi3h6t16npn2bt32con10000
si2_b06_m200.07 3 1 3 2 17 20 16 31
si2_b06_m200.04 3 1 2 2 21 23 23 31
si2_b06_m200.08 3 1 1 2 22 26 15 31
si2_b06_m200.03 3 1 1 2 18 19 17 30
si2_b06_m200.05 3 1 1 2 20 19 15 31
si6_m4Dr2_m1296.05 6 1 126 158 982 932 949 609
si6_m4Dr2_m1296.09 6 1 169 156 897 988 824 602
si6_m4Dr2_m1296.01 6 1 150 160 927 992 976 594
si6_m4Dr2_m1296.06 6 1 152 148 963 908 909 608
si6_m4Dr2_m1296.07 6 1 134 162 932 899 933 601
si6_m4Dr2_m1296.03 6 1 132 147 881 922 993 591
si6_m4Dr2_m1296.04 6 1 127 182 1019 1031 949 595
si6_m4Dr2_m1296.00 6 1 182 119 897 1023 910 616
si6_m4Dr2_m1296.08 6 1 160 131 906 968 897 591
si6_m4Dr2_m1296.02 6 1 147 142 1036 1018 882 598
si2_b09m_m800.09 4 1 30 29 160 160 142 119
si2_b09m_m800.07 4 1 20 23 158 165 154 114
si2_b09m_m800.00 4 1 32 24 156 170 146 116
si2_b09m_m800.04 4 1 24 35 163 165 143 115
si2_b09m_m800.02 4 1 20 23 155 169 149 112
si2_b09m_m800.05 4 1 30 23 171 171 138 113
si2_b09m_m800.03 4 1 21 29 167 148 153 120
si2_b09m_m800.08 4 1 22 36 148 154 153 115
si2_b09m_m800.06 4 1 35 22 189 170 135 120
si2_b09m_m800.01 4 1 34 31 145 152 161 120
si4_b03_m400.01 3 1 10 13 83 95 88 66
si4_b03_m400.02 3 1 12 6 97 79 87 66
si4_b03_m400.05 3 1 12 9 92 95 82 67
si4_b03_m400.07 3 1 13 13 84 93 81 68
si4_b03_m400.06 3 1 13 12 96 86 82 68
si4_b03_m400.00 3 1 12 7 84 92 80 67
si4_b03_m400.03 3 1 7 6 93 96 85 68
si4_b03_m400.04 3 1 8 6 91 90 71 68
si4_b03_m400.09 3 1 9 6 94 95 86 66
si4_b03_m400.08 3 1 11 11 84 73 74 68
si2_b03_m200.05 3 1 2 2 24 23 24 30
si2_b03_m200.09 3 1 2 2 26 26 24 30
si2_b03_m200.07 3 1 1 1 22 26 24 30
si2_b03_m200.01 3 1 2 1 23 22 21 30
si2_b03_m200.08 3 1 1 1 25 25 22 30
si2_b03_m200.02 3 1 1 2 25 23 22 29
si2_b03_m200.04 3 1 2 2 23 22 24 29
si2_b03_m200.03 3 1 2 1 22 25 25 30
si2_b03_m200.06 3 1 2 1 22 24 24 29
si2_b03_m200.00 3 1 2 2 25 23 23 30
si4_r005_m600.00 7 1 1719 1595 754 569 1079 383
si4_r005_m600.02 7 1 819 875 445 879 469 371
si4_r005_m600.08 7 1 11452 9363 1436 2373 3343 421
si4_r005_m600.05 7 1 1296 3106 851 1532 740 406
si4_r005_m600.07 7 1 1563 1124 658 638 748 496
si4_r005_m600.06 7 1 2949 4193 802 1589 1912 520
si4_r005_m600.01 7 1 427 489 457 664 384 619
si4_r005_m600.04 7 1 2233 2940 786 1867 1620 462
si4_r005_m600.03 7 1 1131 585 415 544 534 407
si4_r005_m600.09 7 1 351 399 277 295 287 368
si4_b09_m400.05 3 1 13 13 83 98 78 74
si4_b09_m400.03 3 1 15 12 93 88 72 76
si4_b09_m400.00 3 1 13 17 87 91 83 71
si4_b09_m400.07 3 1 20 16 95 105 53 69
si4_b09_m400.01 3 1 19 16 83 106 77 77
si4_b09_m400.06 3 1 19 15 85 97 60 73
si4_b09_m400.04 3 1 13 14 103 94 78 76
si4_b09_m400.02 3 1 13 23 96 101 84 76
si4_b09_m400.08 3 1 12 23 93 106 82 75
si4_b09_m400.09 3 1 16 18 86 104 82 77
si4_b06m_m400.06 4 1 10 10 91 84 64 65
si4_b06m_m400.03 4 1 14 6 94 83 69 67
