instance family mcsplitdown14 mcsplitdownbiasedrestarts14
si2_b09_m200.09 3 0 0
si2_b09_m200.07 3 0 0
si6_r01_m600.02 7 147 193
si6_r01_m600.06 7 12 40
si6_r01_m600.09 7 406 250
si6_r01_m600.08 7 3152 3638
si6_r01_m600.05 7 14 42
si6_r01_m600.07 7 265 287
si6_r01_m600.03 7 174 334
si6_r01_m600.00 7 81 69
si6_r01_m600.01 7 32 22
si6_r01_m600.04 7 608 363
si2_b06_m200.02 3 0 0
si2_b06_m200.00 3 0 0
si2_b06_m200.01 3 0 1
si2_b06_m200.06 3 0 1
si2_b06_m200.09 3 0 0
si2_b06_m200.07 3 0 0
si2_b06_m200.04 3 0 0
si2_b06_m200.08 3 0 0
si2_b06_m200.03 3 0 0
si2_b06_m200.05 3 0 0
si6_m4Dr2_m1296.05 6 55 60
si6_m4Dr2_m1296.09 6 57 56
si6_m4Dr2_m1296.01 6 49 55
si6_m4Dr2_m1296.06 6 52 46
si6_m4Dr2_m1296.07 6 56 67
si6_m4Dr2_m1296.03 6 58 57
si6_m4Dr2_m1296.04 6 58 65
si6_m4Dr2_m1296.00 6 50 55
si6_m4Dr2_m1296.08 6 49 52
si6_m4Dr2_m1296.02 6 66 68
si2_b09m_m800.09 4 10 9
si2_b09m_m800.07 4 27015 8
si2_b09m_m800.00 4 13 14
si2_b09m_m800.04 4 9 11
si2_b09m_m800.02 4 8 11
si2_b09m_m800.05 4 11 7
si2_b09m_m800.03 4 12 11
si2_b09m_m800.08 4 8 9
si2_b09m_m800.06 4 9 8
si2_b09m_m800.01 4 7 6
si4_b03_m400.01 3 3 4
si4_b03_m400.02 3 3 3
si4_b03_m400.05 3 4 4
si4_b03_m400.07 3 2 2
si4_b03_m400.06 3 2 5
si4_b03_m400.00 3 3 3
si4_b03_m400.03 3 3 4
si4_b03_m400.04 3 4 4
si4_b03_m400.09 3 2 3
si4_b03_m400.08 3 3 3
si2_b03_m200.05 3 0 0
si2_b03_m200.09 3 0 0
si2_b03_m200.07 3 0 0
si2_b03_m200.01 3 0 0
si2_b03_m200.08 3 0 0
si2_b03_m200.02 3 0 0
si2_b03_m200.04 3 0 0
si2_b03_m200.03 3 0 0
si2_b03_m200.06 3 0 0
si2_b03_m200.00 3 0 0
si4_r005_m600.00 7 97 165
si4_r005_m600.02 7 118 166
si4_r005_m600.08 7 703 667
si4_r005_m600.05 7 233 391
si4_r005_m600.07 7 126 110
si4_r005_m600.06 7 344 562
si4_r005_m600.01 7 53 79
si4_r005_m600.04 7 281 443
si4_r005_m600.03 7 61 111
si4_r005_m600.09 7 22 12
si4_b09_m400.05 3 3 3
si4_b09_m400.03 3 4 5
si4_b09_m400.00 3 3 4
si4_b09_m400.07 3 3 4
si4_b09_m400.01 3 5 3
si4_b09_m400.06 3 5 3
si4_b09_m400.04 3 4 3
si4_b09_m400.02 3 4 5
si4_b09_m400.08 3 2 3
si4_b09_m400.09 3 5 4
si4_b06m_m400.06 4 5 5
si4_b06m_m400.03 4 3 5
si4_b06m_m400.01 4 4 3
si4_b06m_m400.08 4 3 4
si4_b06m_m400.05 4 3 3
si4_b06m_m400.07 4 3 5
si4_b06m_m400.00 4 2 3
si4_b06m_m400.04 4 4 4
si4_b06m_m400.09 4 4 6
si4_b06m_m400.02 4 3 3
si2_m4Dr2_m625.05 6 7 11
si2_m4Dr2_m625.00 6 6 9
si2_m4Dr2_m625.08 6 3 7
si2_m4Dr2_m625.09 6 7 9
si2_m4Dr2_m625.06 6 13 10
si2_m4Dr2_m625.04 6 23 9
si2_m4Dr2_m625.01 6 10 14
si2_m4Dr2_m625.03 6 8 20
si2_m4Dr2_m625.02 6 12 4
si2_m4Dr2_m625.07 6 5 6
si2_r005_m200.02 7 1 1
si2_r005_m200.01 7 4022 4121
si2_r005_m200.03 7 34 18
si2_r005_m200.05 7 346 275
si2_r005_m200.08 7 176 221
si2_r005_m200.04 7 84 64
si2_r005_m200.09 7 63 45
si2_r005_m200.06 7 14 11
si2_r005_m200.00 7 136 126
si2_r005_m200.07 7 47 57
si4_b03m_m400.03 4 3 5
si4_b03m_m400.09 4 2 4
si4_b03m_m400.08 4 3 6
si4_b03m_m400.04 4 4 5
si4_b03m_m400.00 4 3 3
si4_b03m_m400.01 4 2 6
si4_b03m_m400.07 4 4 4
si4_b03m_m400.02 4 4 3
si4_b03m_m400.06 4 2 3
si4_b03m_m400.05 4 4 3
si2_r01_m600.01 7 4324 5188
si2_r01_m600.06 7 14451 11539
si2_r01_m600.09 7 33041 25959
si2_r01_m600.08 7 61881 42480
si2_r01_m600.04 7 14028 13652
si2_r01_m600.02 7 17026 14188
si2_r01_m600.00 7 8201 11863
si2_r01_m600.07 7 5650 7776
si2_r01_m600.03 7 8069 10265
si2_r01_m600.05 7 11145 7321
si4_m4Dr6_m256.01 6 1 2
si4_m4Dr6_m256.00 6 2 7
si4_m4Dr6_m256.05 6 7 8
si4_m4Dr6_m256.08 6 3 2
si4_m4Dr6_m256.03 6 2 1
si4_m4Dr6_m256.06 6 2 2
si4_m4Dr6_m256.09 6 1 2
si4_m4Dr6_m256.07 6 13 6
si4_m4Dr6_m256.02 6 1 2
si4_m4Dr6_m256.04 6 2 3
si2_b03m_m400.02 4 8 7
si2_b03m_m400.00 4 2 2
si2_b03m_m400.01 4 2 2
si2_b03m_m400.05 4 5 2
si2_b03m_m400.08 4 2 2
si2_b03m_m400.07 4 2 2
si2_b03m_m400.09 4 2 2
si2_b03m_m400.03 4 2 2
si2_b03m_m400.04 4 2 2
si2_b03m_m400.06 4 2 2
si2_b03m_m200.05 4 0 0
si2_b03m_m200.03 4 0 0
si2_b03m_m200.00 4 0 0
si2_b03m_m200.08 4 0 0
si2_b03m_m200.06 4 0 0
si2_b03m_m200.02 4 0 0
si2_b03m_m200.09 4 0 0
si2_b03m_m200.04 4 0 0
si2_b03m_m200.01 4 0 0
si2_b03m_m200.07 4 0 0
si4_r001_m200.04 7 11 5
si4_r001_m200.07 7 4 6
si4_r001_m200.00 7 44 5
si4_r001_m200.01 7 1 1
si4_r001_m200.03 7 319 238
si4_r001_m200.06 7 3 4
si4_r001_m200.05 7 21 53
si4_r001_m200.08 7 2 2
si4_r001_m200.09 7 387 203
si4_r001_m200.02 7 12 11
si2_m4D_m256.08 5 1 5
si2_m4D_m256.03 5 1 1
si2_m4D_m256.02 5 1 2
si2_m4D_m256.06 5 0 1
si2_m4D_m256.04 5 0 1
si2_m4D_m256.07 5 1 1
si2_m4D_m256.01 5 0 0
si2_m4D_m256.09 5 0 1
si2_m4D_m256.00 5 1 1
si2_m4D_m256.05 5 0 1
si6_r01_m400.04 7 28 14
si6_r01_m400.08 7 46 73
si6_r01_m400.07 7 6 7
si6_r01_m400.06 7 31 56
si6_r01_m400.05 7 10 39
si6_r01_m400.02 7 9 26
si6_r01_m400.00 7 20 32
si6_r01_m400.03 7 137 138
si6_r01_m400.01 7 149 157
si6_r01_m400.09 7 243 213
si2_m4Dr4_m625.07 6 23 7
si2_m4Dr4_m625.02 6 6 5
si2_m4Dr4_m625.03 6 5 5
si2_m4Dr4_m625.00 6 5 7
si2_m4Dr4_m625.05 6 5 6
si2_m4Dr4_m625.06 6 23 24
si2_m4Dr4_m625.09 6 1971 1184
si2_m4Dr4_m625.01 6 7 8
si2_m4Dr4_m625.08 6 40 19
si2_m4Dr4_m625.04 6 309 15
si4_r01_m400.01 7 166 56
si4_r01_m400.08 7 6 8
si4_r01_m400.02 7 147 154
si4_r01_m400.03 7 222 449
si4_r01_m400.07 7 91 4
si4_r01_m400.06 7 19 18
si4_r01_m400.04 7 2029 1257
si4_r01_m400.00 7 1240 1787
si4_r01_m400.05 7 253 333
si4_r01_m400.09 7 1015 683
si2_b09m_m400.09 4 3 2
si2_b09m_m400.03 4 4 4
si2_b09m_m400.01 4 1 2
si2_b09m_m400.08 4 2 2
si2_b09m_m400.05 4 4 5
si2_b09m_m400.06 4 2 3
si2_b09m_m400.00 4 1 1
si2_b09m_m400.02 4 2 2
si2_b09m_m400.04 4 2 3
si2_b09m_m400.07 4 2 2
si2_b09_m800.07 3 6 7
si2_b09_m800.04 3 8 8
si2_b09_m800.05 3 8 9
si2_b09_m800.00 3 6 9
si2_b09_m800.02 3 10 7
si2_b09_m800.01 3 5 8
si2_b09_m800.08 3 7 9
si2_b09_m800.09 3 7 6
si2_b09_m800.03 3 8 8
si2_b09_m800.06 3 7 9
si6_b03_m400.04 3 5 4
si6_b03_m400.09 3 4 5
si6_b03_m400.02 3 4 3
si6_b03_m400.06 3 4 5
si6_b03_m400.05 3 5 5
si6_b03_m400.08 3 3 3
si6_b03_m400.01 3 4 4
si6_b03_m400.07 3 4 5
si6_b03_m400.03 3 5 4
si6_b03_m400.00 3 3 4
si2_r005_m600.03 7 686 734
si2_r005_m600.00 7 8237 7569
si2_r005_m600.06 7 2545 3422
si2_r005_m600.01 7 6671 6130
si2_r005_m600.04 7 942 228
si2_r005_m600.09 7 580 713
si2_r005_m600.05 7 1410 1355
si2_r005_m600.02 7 2973 3105
si2_r005_m600.08 7 4787 6139
si2_r005_m600.07 7 1353 1286
si4_r01_m600.05 7 304 105
si4_r01_m600.02 7 654 633
si4_r01_m600.03 7 1864 2516
si4_r01_m600.07 7 397 485
si4_r01_m600.08 7 1349 1816
si4_r01_m600.06 7 2745 1942
si4_r01_m600.01 7 57 77
si4_r01_m600.04 7 20 56
si4_r01_m600.00 7 17 31
si4_r01_m600.09 7 1813 2344
si2_b09_m400.04 3 2 2
si2_b09_m400.08 3 2 2
si2_b09_m400.05 3 3 3
si2_b09_m400.01 3 1 2
si2_b09_m400.03 3 2 2
si2_b09_m400.02 3 1 2
si2_b09_m400.07 3 2 2
si2_b09_m400.09 3 1 2
si2_b09_m400.06 3 2 2
si2_b09_m400.00 3 2 1
si4_b06_m200.06 3 1 1
si4_b06_m200.03 3 0 1
si4_b06_m200.02 3 0 1
si4_b06_m200.07 3 1 1
si4_b06_m200.05 3 0 1
si4_b06_m200.08 3 0 1
si4_b06_m200.00 3 0 1
si4_b06_m200.04 3 0 1
si4_b06_m200.01 3 0 1
si4_b06_m200.09 3 0 0
si4_r005_m400.06 7 12 20
si4_r005_m400.03 7 141 113
si4_r005_m400.07 7 100 139
si4_r005_m400.01 7 19 32
si4_r005_m400.04 7 112 78
si4_r005_m400.00 7 34 32
si4_r005_m400.09 7 16 5
si4_r005_m400.05 7 28 37
si4_r005_m400.08 7 5 5
si4_r005_m400.02 7 255 203
si4_m4Dr2_m1296.07 6 41 28
si4_m4Dr2_m1296.00 6 43 37
si4_m4Dr2_m1296.05 6 35 44
si4_m4Dr2_m1296.04 6 36 38
si4_m4Dr2_m1296.08 6 52 58
si4_m4Dr2_m1296.01 6 26 40
si4_m4Dr2_m1296.06 6 35 46
si4_m4Dr2_m1296.02 6 34 38
